"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "Shell Script", "PowerShell", "Markdown", "XML", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\extension.md", "Markdown", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 35, 142
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\font.md", "Markdown", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 18, 45
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\install.md", "Markdown", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 28, 65
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\methods.md", "Markdown", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 25, 66
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\output.md", "Markdown", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 19, 51
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\page.md", "Markdown", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 42, 139
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\svg.md", "Markdown", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 13, 54
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\doc\tcpdf_methods.md", "Markdown", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 18, 63
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\about.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 35
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\balloon.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 32
